no,question,options,answer
1,SNS上で勝手に実在の人物になりすまし、不正行為をはたらく詐欺行為。 本人のプロフィール画像やニックネーム、他のSNSへの投稿画像などを勝手に使用して、偽アカウントを作成。友人・知人宛てにダイレクトメッセージで金銭を要求する行為を何という。,Aなりすまし詐欺 Bフィッシング詐欺 C出会い系詐欺,Aなりすまし詐欺
2,SNS詐欺にあわないために安易に友達申請や承認をしないことが重要である。,〇 ✕,〇
3,SNSの投稿の内容はデマが多いか,〇 ✕,〇
4,自分の情報が悪用されていた場合の対処法は?,A放っておく Bスクリーンショットを取る,Bスクリーンショットを取る
5,チケットの転売は法律で禁止されているか,〇 ✕,✕
6,SNSや、出会い系サイトで偽のプロフィールを作成し、標的に連絡する。そして、被害者と関係を築き、最終的に緊急な事情があり、急いでお金が必要と要求する行為を何というか,Aオレオレ詐欺 Bフィッシング詐欺 C恋愛詐欺,C恋愛詐欺
7,最近SNSでは、「あなたのプロフィールを見た人を明らかにする」という広告を見かけることがある。これらの広告は、人々の好奇心をくすぐるフィッシングの一種なので、クリックしてはいけない。,〇 ✕,〇
8,フィッシング詐欺とは何か?,A送信者を詐称した電子メールを送りつけたり、偽の電子メールから偽のホームページに接続させたりするなどの方法で、クレジットカード番号、アカウント情報（ユーザID、パスワードなど）といった重要な個人情報を盗み出す行為 Bある誰かになりすましてお金を騙し取ろうとする詐欺の手口,A送信者を詐称した電子メールを送りつけたり、偽の電子メールから偽のホームページに接続させたりするなどの方法で、クレジットカード番号、アカウント情報（ユーザID、パスワードなど）といった重要な個人情報を盗み出す行為
9,もしクレジット情報を入力してしまったら場合クレジット会社に連絡して利用停止をしてもらう,〇 ✕,〇
10,アカウント乗っ取りされない対処として正しくないのは,Aログインアラートの設定 B二段階認証の利用 C複雑なパスワードと定期的な変更 D諦める,D諦める